id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,pos_ecr,sd_ecr,ecr,risk,adp,adp_diff,full_name
0501,Buffalo,Bills,BUF,DST,NA,49,DST,average,102.16842857142858,19,0.8407857142857296,14.805851114950983,80.56,117.89339999999999,14,-11.931190476190466,186,-33.53961904761904,187,3.793780952380942,165,NA,NA,194.5,5.6171748860043955,182.72,3.280000000000001,Buffalo Bills
0501,Buffalo,Bills,BUF,DST,NA,49,DST,robust,103.00750000000001,16,0.3137500000000131,13.743701999999994,80.56,117.89339999999999,14,-10.868333333333325,175,-33.31583333333333,187,4.017566666666653,165,NA,NA,194.5,5.125915697564482,182.72,-7.719999999999999,Buffalo Bills
0501,Buffalo,Bills,BUF,DST,NA,49,DST,weighted,102.98034367936174,16,0.6658984570666746,17.577284491576954,77.8,118.54984534883721,14,-9.059692595316847,171,-34.24003627467859,184,6.509809074158625,142,NA,NA,194.5,6.899002543017872,182.72,-11.719999999999999,Buffalo Bills
0502,Indianapolis,Colts,IND,DST,NA,49,DST,average,102.92071428571428,16,0.4375,14.31985501389758,80.4,114.856,14,-11.17890476190476,180,-33.69961904761904,188,0.756380952380951,177,NA,NA,243.9,5.392394723946384,196.26999999999998,-16.269999999999982,Indianapolis Colts
0502,Indianapolis,Colts,IND,DST,NA,49,DST,robust,102.73249999999999,17,0.6637499999999932,19.614798000000004,80.4,114.856,14,-11.143333333333345,179,-33.47583333333333,188,0.980166666666662,177,NA,NA,243.9,7.8413817424106576,196.26999999999998,-17.269999999999982,Indianapolis Colts
0502,Indianapolis,Colts,IND,DST,NA,49,DST,weighted,104.25069096328477,14,1.1074899228551658,15.9237440439566,78,115.3458488372093,14,-7.7893453113938165,165,-34.040036274678585,183,3.3058125625307184,161,NA,NA,243.9,6.13421638736775,196.26999999999998,-31.269999999999982,Indianapolis Colts
0503,Miami,Dolphins,MIA,DST,NA,49,DST,average,94.26228571428571,30,8.551857142857145,11.639302409140702,70.714,97.72040000000001,19,-19.837333333333333,220,-43.385619047619045,223,-16.37921904761903,238,NA,NA,322.2,4.152600726430203,216.86,3.1399999999999864,Miami Dolphins
0503,Miami,Dolphins,MIA,DST,NA,49,DST,robust,94.1975,30,8.956249999999997,6.701352000000015,70.714,97.72040000000001,19,-19.678333333333327,218,-43.161833333333334,223,-16.15543333333332,238,NA,NA,322.2,1.8687278912464826,216.86,1.1399999999999864,Miami Dolphins
0503,Miami,Dolphins,MIA,DST,NA,49,DST,weighted,93.00029504976317,28,0.6938659452806348,13.236432393519244,64,96.40335813953489,19,-19.039741224915417,213,-48.040036274678585,235,-15.636678135143697,232,NA,NA,322.2,4.891296234353361,216.86,-3.8600000000000136,Miami Dolphins
0504,New England,Patriots,NEP,DST,NA,49,DST,average,112.9312857142857,4,1.725999999999999,12.815224041666038,91.35,124.45399999999998,6,-1.1683333333333366,135,-22.74961904761905,147,10.354380952380936,133,NA,NA,196.2,4.696481334841754,161.97,-26.97,New England Patriots
0504,New England,Patriots,NEP,DST,NA,49,DST,robust,111.85499999999999,4,1.329999999999984,14.648087999999992,91.35,124.45399999999998,6,-2.020833333333343,140,-22.52583333333334,147,10.578166666666647,133,NA,NA,196.2,5.544207184270583,161.97,-21.97,New England Patriots
0504,New England,Patriots,NEP,DST,NA,49,DST,weighted,109.62044932910366,6,0.405168913049053,10.977835586158346,90,114.81325217391304,6,-2.4195869455749204,143,-22.040036274678585,145,2.773215899234458,164,NA,NA,196.2,3.8466628406247474,161.97,-18.97,New England Patriots
0505,New York,Jets,NYJ,DST,NA,49,DST,average,103.30257142857143,15,0.5240000000000009,12.308183007754675,79.736,109.9208,14,-10.797047619047618,179,-34.36361904761904,193,-4.178819047619044,199,NA,NA,295.6,4.4619675897198885,206.23000000000002,-27.230000000000018,New York Jets
0505,New York,Jets,NYJ,DST,NA,49,DST,robust,103.372,15,0.5019999999999953,11.96458199999999,79.736,109.9208,14,-10.503833333333333,174,-34.13983333333333,193,-3.9550333333333327,199,NA,NA,295.6,4.303047199126246,206.23000000000002,-32.23000000000002,New York Jets
0505,New York,Jets,NYJ,DST,NA,49,DST,weighted,102.50276776972302,17,1.0028726765521299,14.052104950998006,74,109.26152209302325,14,-9.537268504955563,173,-38.040036274678585,200,-2.778514181655339,186,NA,NA,295.6,5.268556482447825,206.23000000000002,-33.23000000000002,New York Jets
0506,Cincinnati,Bengals,CIN,DST,NA,49,DST,average,101.98014285714285,20,1.3854999999999933,20.981697706969918,72.08,126.19399999999997,14,-12.119476190476192,188,-42.019619047619045,217,12.09438095238093,124,NA,NA,332.2,8.473592447360293,150.73,37.27000000000001,Cincinnati Bengals
0506,Cincinnati,Bengals,CIN,DST,NA,49,DST,robust,99.99499999999999,25,1.5027499999999918,7.412999999999999,72.08,126.19399999999997,14,-13.880833333333342,197,-41.795833333333334,217,12.318166666666642,124,NA,NA,332.2,2.1978752906217687,150.73,46.27000000000001,Cincinnati Bengals
0506,Cincinnati,Bengals,CIN,DST,NA,49,DST,weighted,95.93537662277053,25,0.8072449175986094,15.861621184207031,65,105.39374782608695,14,-16.10465965190805,200,-47.040036274678585,232,-6.646288448591633,197,NA,NA,332.2,6.105483674385592,150.73,49.27000000000001,Cincinnati Bengals
